# file: 12CO_LB_regrid_LSRK_spw0.ms
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw poln obs
# U V None None None None None None None MJD(seconds) GHz None None None
-310.651 719.193 28 7 0 1 19 DA42@A047 DA64@A110 5208536043.696 345.805709672 0 XX 0
41.768 -2.73378 29 7 0 1 20 DA42@A047 DA65@A045 5208536043.696 345.806686357 0 YY 0
67.6651 -102.007 0 7 0 1 21 DA42@A047 DV02@A024 5208536043.696 345.778362496 0 XX 0
75.126 -39.7278 1 7 0 1 22 DA42@A047 DV03@A027 5208536043.696 345.779339181 0 YY 0
-15.404 -33.2065 2 7 0 1 23 DA42@A047 DV04@A042 5208536043.696 345.780315866 0 XX 0
-206.949 248.341 3 7 0 1 24 DA42@A047 DV05@A092 5208536043.696 345.781292551 0 YY 0
424.793 -402.568 4 7 0 1 25 DA42@A047 DV06@A096 5208536043.696 345.782269236 0 XX 0
282.381 3.26296 5 7 0 1 26 DA42@A047 DV07@A086 5208536043.696 345.783245921 0 YY 0
-226.939 61.5709 6 7 0 1 27 DA42@A047 DV08@A087 5208536043.696 345.784222606 0 XX 0
181.844 -48.1543 7 7 0 1 28 DA42@A047 DV09@A073 5208536043.696 345.785199290 0 YY 0
-29.3867 -31.6266 8 7 0 1 29 DA42@A047 DV10@A043 5208536043.696 345.786175975 0 XX 0
-17.7163 -96.1461 9 7 0 1 30 DA42@A047 DV11@A007 5208536043.696 345.787152660 0 YY 0
-1010.08 -464.474 10 7 0 1 31 DA42@A047 DV12@A121 5208536043.696 345.788129345 0 XX 0
-122.203 38.7504 11 7 0 1 32 DA42@A047 DV14@A074 5208536043.696 345.789106030 0 YY 0
-490.386 358.071 12 7 0 1 33 DA42@A047 DV15@A105 5208536043.696 345.790082715 0 XX 0
-611.138 -216.929 13 7 0 1 34 DA42@A047 DV16@A108 5208536043.696 345.791059400 0 YY 0
-589.354 -785.385 14 7 0 1 35 DA42@A047 DV17@A116 5208536043.696 345.792036084 0 XX 0
-112.599 -45.3052 15 7 0 1 36 DA42@A047 DV18@A070 5208536043.696 345.793012769 0 YY 0
565.467 -216.187 16 7 0 1 37 DA42@A047 DV19@A104 5208536043.696 345.793989454 0 XX 0
-70.0395 -203.536 17 7 0 1 38 DA42@A047 DV20@A072 5208536043.696 345.794966139 0 YY 0
133.953 -127.565 18 7 0 1 39 DA42@A047 DV21@A068 5208536043.696 345.795942824 0 XX 0
105.854 -354.946 19 7 0 1 40 DA42@A047 DV22@A088 5208536043.696 345.796919509 0 YY 0
-23.6226 65.636 20 7 0 1 41 DA42@A047 DV23@A060 5208536043.696 345.797896194 0 XX 0
-194.781 -866.869 21 7 0 1 42 DA42@A047 DV24@A111 5208536043.696 345.798872878 0 YY 0
85.0883 -29.4732 22 7 0 1 43 DA42@A047 DV25@A033 5208536043.696 345.799849563 0 XX 0
182.562 1144.29 23 7 0 2 3 DA43@A091 DA44@A120 5208536043.696 345.800826248 0 YY 0
792.283 -523.016 24 7 0 2 4 DA43@A091 DA46@A122 5208536043.696 345.801802933 0 XX 0
-308.036 11.9681 25 7 0 2 5 DA43@A091 DA47@A022 5208536043.696 345.802779618 0 YY 0
-560.156 89.2263 26 7 0 2 6 DA43@A091 DA48@A082 5208536043.696 345.803756303 0 XX 0
-292.3 -22.2765 27 7 0 2 7 DA43@A091 DA49@A066 5208536043.696 345.804732988 0 YY 0
-305.461 436.474 28 7 0 2 8 DA43@A091 DA50@A089 5208536043.696 345.805709672 0 XX 0
-461.56 -168.181 29 7 0 2 10 DA43@A091 DA53@A085 5208536043.696 345.806686357 0 YY 0
-269.226 -117.193 0 7 0 2 11 DA43@A091 DA54@A075 5208536043.696 345.778362496 0 XX 0
-321.21 627.626 1 7 0 2 12 DA43@A091 DA55@A134 5208536043.696 345.779339181 0 YY 0
-302.621 189.141 2 7 0 2 13 DA43@A091 DA56@A062 5208536043.696 345.780315866 0 XX 0
-108.664 387.275 3 7 0 2 14 DA43@A091 DA57@A094 5208536043.696 345.781292551 0 YY 0
-261.615 267.472 4 7 0 2 15 DA43@A091 DA58@A076 5208536043.696 345.782269236 0 XX 0
-319.823 -337.274 5 7 0 2 16 DA43@A091 DA59@A093 5208536043.696 345.783245921 0 YY 0
-222.693 159.219 6 7 0 2 17 DA43@A091 DA62@A069 5208536043.696 345.784222606 0 XX 0
-342.425 1004.45 7 7 0 2 18 DA43@A091 DA63@A115 5208536043.696 345.785199290 0 YY 0
-663.09 867.923 8 7 0 2 19 DA43@A091 DA64@A110 5208536043.696 345.786175975 0 XX 0
-310.675 145.994 9 7 0 2 20 DA43@A091 DA65@A045 5208536043.696 345.787152660 0 YY 0
-284.778 46.7199 10 7 0 2 21 DA43@A091 DV02@A024 5208536043.696 345.788129345 0 XX 0
-277.316 108.998 11 7 0 2 22 DA43@A091 DV03@A027 5208536043.696 345.789106030 0 YY 0
-367.846 115.519 12 7 0 2 23 DA43@A091 DV04@A042 5208536043.696 345.790082715 0 XX 0
-559.39 397.068 13 7 0 2 24 DA43@A091 DV05@A092 5208536043.696 345.791059400 0 YY 0
72.3505 -253.844 14 7 0 2 25 DA43@A091 DV06@A096 5208536043.696 345.792036084 0 XX 0
-70.0596 151.989 15 7 0 2 26 DA43@A091 DV07@A086 5208536043.696 345.793012769 0 YY 0
-579.383 210.299 16 7 0 2 27 DA43@A091 DV08@A087 5208536043.696 345.793989454 0 XX 0
-170.597 100.571 17 7 0 2 28 DA43@A091 DV09@A073 5208536043.696 345.794966139 0 YY 0
-381.828 117.098 18 7 0 2 29 DA43@A091 DV10@A043 5208536043.696 345.795942824 0 XX 0
-370.159 52.5796 19 7 0 2 30 DA43@A091 DV11@A007 5208536043.696 345.796919509 0 YY 0
-1362.54 -315.742 20 7 0 2 31 DA43@A091 DV12@A121 5208536043.696 345.797896194 0 XX 0
-474.647 187.479 21 7 0 2 32 DA43@A091 DV14@A074 5208536043.696 345.798872878 0 YY 0
-842.829 506.801 22 7 0 2 33 DA43@A091 DV15@A105 5208536043.696 345.799849563 0 XX 0
-963.585 -68.2011 23 7 0 2 34 DA43@A091 DV16@A108 5208536043.696 345.800826248 0 YY 0
-941.807 -636.657 24 7 0 2 35 DA43@A091 DV17@A116 5208536043.696 345.801802933 0 XX 0
-465.042 103.423 25 7 0 2 36 DA43@A091 DV18@A070 5208536043.696 345.802779618 0 YY 0
213.028 -67.4646 26 7 0 2 37 DA43@A091 DV19@A104 5208536043.696 345.803756303 0 XX 0
-422.485 -54.8074 27 7 0 2 38 DA43@A091 DV20@A072 5208536043.696 345.804732988 0 YY 0
-218.487 21.1593 28 7 0 2 39 DA43@A091 DV21@A068 5208536043.696 345.805709672 0 XX 0
-246.591 -206.219 29 7 0 2 40 DA43@A091 DV22@A088 5208536043.696 345.806686357 0 YY 0
